status,bed,bath,acre_lot,city,state,zip_code,house_size,prev_sold_date,price
for_sale,1.0,1.0,0.53,Christiansted,Virgin Islands,820.0,1200.0,,610000
for_sale,2.0,2.0,,Toa Alta,Puerto Rico,953.0,983.0,,125000
for_sale,2.0,1.0,,San Juan,Puerto Rico,926.0,700.0,,62000
for_sale,,,0.44,Mayaguez,Puerto Rico,680.0,,,159000
for_sale,3.0,2.0,0.04,Bayamon,Puerto Rico,956.0,1039.0,,79000
for_sale,3.0,1.0,0.68,Ponce,Puerto Rico,730.0,905.0,,54000
for_sale,,,0.47,Camuy,Puerto Rico,627.0,,,105000
for_sale,3.0,2.0,0.08,Toa Baja,Puerto Rico,949.0,1900.0,,229900
for_sale,4.0,3.0,0.25,Guaynabo,Puerto Rico,966.0,3346.0,,1390000
for_sale,6.0,3.0,0.25,Anasco,Puerto Rico,610.0,1230.0,,140000
for_sale,3.0,1.0,,San Juan,Puerto Rico,927.0,906.0,,115000
for_sale,3.0,2.0,0.09,Catano,Puerto Rico,692.0,1007.0,,154150
for_sale,,,1.21,San Juan,Puerto Rico,926.0,,,180000
for_sale,3.0,3.0,,San Juan,Puerto Rico,907.0,2900.0,,1050000
for_sale,,,18.82,Santa Isabel,Puerto Rico,757.0,,,405000
for_sale,3.0,2.0,0.15,San Juan,Puerto Rico,926.0,1100.0,,180000
for_sale,4.0,4.0,0.22,Mayaguez,Puerto Rico,680.0,3450.0,,235000
for_sale,3.0,2.0,0.02,Juncos,Puerto Rico,777.0,720.0,,69900
for_sale,5.0,4.0,0.12,Ponce,Puerto Rico,717.0,1600.0,,225000
for_sale,5.0,2.0,0.25,Morovis,Puerto Rico,687.0,1620.0,,60000
for_sale,,,0.67,Camuy,Puerto Rico,627.0,,,85000
for_sale,2.0,2.0,0.09,Barceloneta,Puerto Rico,617.0,955.0,,90000
for_sale,4.0,2.0,0.08,Bayamon,Puerto Rico,959.0,1480.0,,175000
for_sale,,,0.31,Guaynabo,Puerto Rico,971.0,,,140000
for_sale,3.0,2.0,0.22,San Sebastian,Puerto Rico,685.0,1134.0,,121000
for_sale,1.0,2.0,,San Juan,Puerto Rico,907.0,1074.0,,975000
for_sale,4.0,2.0,0.15,Toa Baja,Puerto Rico,949.0,1970.0,,169000
for_sale,3.0,1.0,,San Juan,Puerto Rico,918.0,1106.0,,125000
for_sale,4.0,1.0,0.13,Mayaguez,Puerto Rico,680.0,1400.0,,165000
for_sale,,,0.5,Frederiksted,Virgin Islands,840.0,,,50000
for_sale,3.0,2.0,0.17,Aguadilla,Puerto Rico,603.0,1500.0,,180000
for_sale,3.0,2.0,,San Juan,Puerto Rico,926.0,1250.0,,147000
for_sale,3.0,2.0,0.23,Dorado,Puerto Rico,646.0,1298.0,,141000
for_sale,4.0,4.0,,Dorado,Puerto Rico,646.0,882.0,,800000
for_sale,4.0,5.0,0.78,Vieques,Puerto Rico,765.0,3200.0,,2495000
for_sale,3.0,2.0,,Guaynabo,Puerto Rico,966.0,865.0,,119900
for_sale,4.0,4.0,0.19,San Juan,Puerto Rico,926.0,3089.0,,799900
for_sale,1.0,1.0,,San Juan,Puerto Rico,909.0,609.0,,369000
for_sale,5.0,3.0,0.49,Penuelas,Puerto Rico,624.0,2500.0,,799000
for_sale,6.0,3.0,0.07,San Juan,Puerto Rico,920.0,1841.0,,95000
for_sale,3.0,1.0,0.05,Dorado,Puerto Rico,646.0,816.0,,95600
